id,migration_name,checksum,started_at,finished_at,applied_steps_count,rolled_back_at,logs
"4f2a6107-6c1a-480d-945b-2339f329a80e","20260324232549_add_class_archive","967cca53ce7736ef919c905bd4fd6dd1a727f214ba8e7e593356492ce4105d90","2026-04-06 23:54:03.471687+00","2026-04-06 23:54:04.371871+00","1",,
"e8e68ea4-779f-49b0-a2d5-cfaa50828d0a","20260406235522_add_parent_details","be1b2e6fd5177d69bcc52e10165e23317b73ee7195153925d68b72e805d7cac2","2026-04-06 23:55:23.602588+00","2026-04-06 23:55:24.553233+00","1",,
"4f11127d-5c82-4481-8c41-2c2faec824a8","20260409080530_add_userid_to_parent","cbbb281276ccbf3a0b77ed6adeaa25b57c4780e7c409d8aff7803f3bac4a6f13","2026-04-09 08:05:31.707374+00","2026-04-09 08:05:32.599615+00","1",,
"92380484-163b-4c84-bfe0-3b75936f86f2","20260410021114_add_assignment_score","a588326fd6244fb29412603c0ebc376c0c9bf203d9e4360954a79621af52de08","2026-04-10 02:11:16.12966+00","2026-04-10 02:11:17.136952+00","1",,
"84114f11-0ad8-44fd-b432-243e97533d37","20260410110711_add_assignment_weight","5a41b0a2e56a9891e885bff4c8b706090a9dcf1d383e1af957821b3a9ce65c93","2026-04-10 11:07:12.047185+00","2026-04-10 11:07:12.927551+00","1",,
"66028e82-da5b-4d4c-9b00-188b384760e8","20260413035610_add_assignment_fields","cc9b6878350fb3336358fffaeab7f83de0fa20bd48d9dda9805389a13938c45b","2026-04-13 03:56:11.334586+00","2026-04-13 03:56:12.23605+00","1",,
"1c21fd14-5077-46a3-8604-e00a74e8520c","20260413050020_add_assignment_and_comments","6f412d11ec21a4913caa1b871a9e57cb4bf3bb055b2f6a0b3bac394d7af87e2d","2026-04-13 05:00:21.592458+00","2026-04-13 05:00:22.531191+00","1",,
"48aef094-9f45-4a08-9e2a-1c1c1ff49098","00000000000000_init","425e4b47e1a8f36bdd2a83a57c40e4c6d5b074edfc05d85c9a3bed1aa23755ae","2026-04-15 23:05:06.319079+00","2026-04-15 23:05:06.319079+00","0",,""
"c2384b1c-33bc-426f-9782-9e1bcda4572b","20260810000000_add_attendance_period","850c179ce37823ad11098c5d5006d246671db056b7a133bf6ddd0389f8286407","2026-08-10 03:57:15.93013+00","2026-08-10 03:57:16.897414+00","1",,
"ec7381d5-ab8a-460b-be00-170760732733","20260822000000_add_teacher_subject_lifecycle","eeb4445b7c2bf4880fdaab460db7684cc7b5f9061cbc9f30a37b5fd0fee28711","2026-08-22 14:04:05.245333+00","2026-08-22 14:04:06.24941+00","1",,
"32be23e0-7041-4612-b63d-52b0d491d8dc","20260823000000_add_student_class_enrollment_phase_1","c197bb308a929cd1780510b53e8cb4a6efc5ef6b4efc71085e2f64d1831e194d","2026-08-22 21:34:01.432281+00","2026-08-22 21:34:02.499971+00","1",,
